sequence,module,level,type,identifier,name,datatype,multiplicity,value_domain,definition,label_local,definition_local,source_bsm_id,semantic_path,associated_module,class_term,local_name,xpath
251,btx,4,A,,Tax Exemption Reason Text,String,0..1,,Human-readable text describing the reason why the tax occurrence is exempt from tax.,免税理由テキスト,この税出現が免税となる理由を説明する可読テキスト。,BT09-18,$.btx_BusinessTransactions.btx_TransactionHeader.btx_HeaderTax.btx_TaxExemptionReasonText,btx,Header_ Tax,headerTaxExemptionReasonText,/xbrli:xbrl/gl-btx:businessTransactions/gl-btx:transactionHeader/gl-btx:headerTax/gl-btx:headerTaxExemptionReasonText
252,btx,3,C,,Header_ Amount Structure,,0..*,,"Structure representing monetary amounts and currency information applicable to the document as a whole, such as document-level totals or aggregated tax amounts.",【ヘッダー金額構造】,文書全体に適用される金額や通貨情報（文書レベルの合計額や集計された税額など）を表現する構造。,BT12-28,$.btx_BusinessTransactions.btx_TransactionHeader.btx_HeaderAmountStructure,btx,Header_ Amount Structure,headerAmountStructure,/xbrli:xbrl/gl-btx:businessTransactions/gl-btx:transactionHeader/gl-btx:headerAmountStructure
253,btx,4,A,,Amount,Monetary,1,,Numeric value of the monetary amount expressed in the specified currency.,金額,指定された通貨で表現された金額の数値。,BT01-01,$.btx_BusinessTransactions.btx_TransactionHeader.btx_HeaderAmountStructure.btx_Amount,btx,Header_ Amount Structure,headerAmount,/xbrli:xbrl/gl-btx:businessTransactions/gl-btx:transactionHeader/gl-btx:headerAmountStructure/gl-btx:headerAmount
254,btx,4,A,,Amount Type,Token,0..1,,"Code or text specifying the type or role of the amount, such as tax amount, tax base amount, allowance amount, or charge amount.",金額種別,税額、課税標準額、値引金額、追加請求金額など、金額の種類または役割を指定するコードまたはテキスト。,BT01-02,$.btx_BusinessTransactions.btx_TransactionHeader.btx_HeaderAmountStructure.btx_AmountType,btx,Header_ Amount Structure,headerAmountStructureAmountType,/xbrli:xbrl/gl-btx:businessTransactions/gl-btx:transactionHeader/gl-btx:headerAmountStructure/gl-btx:headerAmountStructureAmountType
255,btx,4,A,,Currency Code,Token,0..1,,"Code specifying the currency in which the amount is expressed, typically an ISO 4217 currency code.",通貨コード,金額が表現される通貨を指定するコード。通常は ISO 4217 通貨コードを用いる。,BT01-03,$.btx_BusinessTransactions.btx_TransactionHeader.btx_HeaderAmountStructure.btx_CurrencyCode,btx,Header_ Amount Structure,headerCurrencyCode,/xbrli:xbrl/gl-btx:businessTransactions/gl-btx:transactionHeader/gl-btx:headerAmountStructure/gl-btx:headerCurrencyCode
256,btx,4,A,,Currency Code Type,Token,0..1,,"Code specifying the role of the currency used for the amount, such as functional currency, local currency, reporting currency, or transaction currency.",通貨コード種別,金額に対する通貨の役割（機能通貨、ローカル通貨、報告通貨、取引通貨など）を指定するコード。,BT01-04,$.btx_BusinessTransactions.btx_TransactionHeader.btx_HeaderAmountStructure.btx_CurrencyCodeType,btx,Header_ Amount Structure,headerCurrencyCodeType,/xbrli:xbrl/gl-btx:businessTransactions/gl-btx:transactionHeader/gl-btx:headerAmountStructure/gl-btx:headerCurrencyCodeType
257,btx,4,A,,Header_ Amount Type,String,0..1,Amount_Type,"Code or text specifying the type or role of the amount, such as tax amount, tax base amount, allowance amount, or charge amount.",金額種別,税額、課税標準額、値引金額、追加請求金額など、金額の種類または役割を指定するコードまたはテキスト。,BT01-05,$.btx_BusinessTransactions.btx_TransactionHeader.btx_HeaderAmountStructure.btx_HeaderAmountType,btx,Header_ Amount Structure,headerAmountType,/xbrli:xbrl/gl-btx:businessTransactions/gl-btx:transactionHeader/gl-btx:headerAmountStructure/gl-btx:headerAmountType
258,btx,3,C,,Transaction_ Detail,,0..*,,Parent for document line,【文書明細】,文書明細の親タグ。,BT12-29,$.btx_BusinessTransactions.btx_TransactionHeader.btx_TransactionDetail,btx,Transaction_ Detail,transactionDetail,/xbrli:xbrl/gl-btx:businessTransactions/gl-btx:transactionHeader/gl-btx:transactionDetail
259,btx,4,A,PK,Line Number,String,0..1,,Identifier for a particular entry detail,明細行番号,仕訳明細の識別子。,BT13-01,$.btx_BusinessTransactions.btx_TransactionHeader.btx_TransactionDetail.btx_LineNumber,btx,Transaction_ Detail,lineNumber,/xbrli:xbrl/gl-btx:businessTransactions/gl-btx:transactionHeader/gl-btx:transactionDetail/gl-btx:lineNumber
260,btx,4,A,,Line Number Counter,Decimal,0..1,,Unique reference for the line - a numeric counter,明細行番号カウンタ,明細行の一意なリファレンス　　カウンタ,BT13-02,$.btx_BusinessTransactions.btx_TransactionHeader.btx_TransactionDetail.btx_LineNumberCounter,btx,Transaction_ Detail,lineNumberCounter,/xbrli:xbrl/gl-btx:businessTransactions/gl-btx:transactionHeader/gl-btx:transactionDetail/gl-btx:lineNumberCounter
261,btx,4,A,,Posting Date,Date Time,0..1,,"At the detail level, this represents the accounting significance date. No matter what date the document is received, entered, or posted, this signifies the accounting date of the entry. If you want to see the financial results for March 5, 2002 and this entry is given that date, the entry will be part of the results for March 5, 2002. This is different from the postedDate found at the entryHeader level. If you want the accounting significance to be a particular date, it goes here. A single entry could represent multiple dates, but would only be posted on one date.",転記日付,明細レベルで、会計上意義のある日付を示す。ドキュメントの受領、入力、転記の日付に関わらず、仕訳が会計処理された日付を示す。2002.03.05の財務結果を見たいときに、ここにその日付がある場合は、この明細は2002.03.05の結果の一部である。これは、entryHeaderにあるpostedDateとは異なる。特定の日付を会計上意義のある日付にしたいなら、ここに記述する。ひとつの仕訳が複数の日付をあらわせるが、ひとつの日でのみ転記される。,BT13-03,$.btx_BusinessTransactions.btx_TransactionHeader.btx_TransactionDetail.btx_PostingDate,btx,Transaction_ Detail,postingDate,/xbrli:xbrl/gl-btx:businessTransactions/gl-btx:transactionHeader/gl-btx:transactionDetail/gl-btx:postingDate
262,btx,4,A,,Memo Line,Boolean,0..1,,A boolean like entry that indicates whether an entryDetail line has been provided solely to provide additional details and that tools should not consider the amount in postings.,メモ行フラグ,明細行が単に追加の詳細を与えるものであり、転記金額に含めるべきでないことを示すブール値。,BT13-04,$.btx_BusinessTransactions.btx_TransactionHeader.btx_TransactionDetail.btx_MemoLine,btx,Transaction_ Detail,memoLine,/xbrli:xbrl/gl-btx:businessTransactions/gl-btx:transactionHeader/gl-btx:transactionDetail/gl-btx:memoLine
263,btx,4,A,,Document Type,Token,0..1,Document_Type,"An enumerated field describing the original source document, with check, debit-memo, credit-memo, finance-charge, invoice, order-customer, order-vendor, payment-other, reminder, tegata, voucher, shipment, receipt, manual-adjustment, other.",元文書種別,小切手、借方メモ、貸方メモ、財務費用、顧客への請求書、顧客オーダー、仕入先オーダー、その他支払い、督促状、手形、ベンダからの請求書、出荷票、受領票、手修正、その他の列挙値による、元文書の説明。[設定値のリスト]_x000D_ (check：小切手)、(debit-memo：借方メモ)、(credit-memo：貸方メモ)、(finance-charge：財務費用)、(invoice：顧客への請求書)、(order-customer：顧客オーダ)、(order-vendor：仕入先オーダ)、(payment-other：その他支払い)、(reminder：督促状)、(tegata：手形)、(voucher：ベンダからの請求書)、(shipment：出荷票)、(receipt：受領票)、(manual-adjustment：手修正)、(other：その他),BT13-05,$.btx_BusinessTransactions.btx_TransactionHeader.btx_TransactionDetail.btx_DocumentType,btx,Transaction_ Detail,detailDeaderDocumentType,/xbrli:xbrl/gl-btx:businessTransactions/gl-btx:transactionHeader/gl-btx:transactionDetail/gl-btx:detailDeaderDocumentType
264,btx,4,A,,Document Type Description,String,0..1,,Free format description of the document type,元文書種別説明,元文書の種別の説明。,BT13-06,$.btx_BusinessTransactions.btx_TransactionHeader.btx_TransactionDetail.btx_DocumentTypeDescription,btx,Transaction_ Detail,detailDeaderDocumentTypeDescription,/xbrli:xbrl/gl-btx:businessTransactions/gl-btx:transactionHeader/gl-btx:transactionDetail/gl-btx:detailDeaderDocumentTypeDescription
265,cor,4,R,,Document,,0..1,,"Invoice, check, voucher, or other source document identifier",元文書番号,請求書、小切手、証憑、その他の元文書の識別子。,BT13-07,$.btx_BusinessTransactions.btx_TransactionHeader.btx_TransactionDetail.btx_Document,cor,Document,detailDeaderDocument,/xbrli:xbrl/gl-btx:businessTransactions/gl-btx:transactionHeader/gl-btx:transactionDetail/gl-cor:detailDeaderDocument
266,cor,5,A,REF,Document Number,String,0..1,,Document number,発生元文書番号,発生元文書の番号。,CO20-02,$.btx_BusinessTransactions.btx_TransactionHeader.btx_TransactionDetail.btx_Document.cor_DocumentNumber,cor,Document,detailDeaderDocumentNumber,/xbrli:xbrl/gl-btx:businessTransactions/gl-btx:transactionHeader/gl-btx:transactionDetail/gl-cor:detailDeaderDocument/gl-cor:detailDeaderDocumentNumber
267,btx,4,A,,Document Date,Date Time,0..1,,"Date (and less likely in the paper world but possible in the e-world, time) on actual document (invoice, voucher, check date). Other dates control posting information.",元文書日付,実際の文書（請求書、証憑、小切手）の日付（および、紙の世界ではありそうにないが、電子的には時刻）。 転記の情報は別の日付で管理する。,BT13-08,$.btx_BusinessTransactions.btx_TransactionHeader.btx_TransactionDetail.btx_DocumentDate,btx,Transaction_ Detail,detailDeaderDocumentDate,/xbrli:xbrl/gl-btx:businessTransactions/gl-btx:transactionHeader/gl-btx:transactionDetail/gl-btx:detailDeaderDocumentDate
268,btx,4,A,,Received Date,Date Time,0..1,,Date/time document was noted as received (if necessary). Represents actual date received. Posting dates are maintained separately.,元文書受領日付,（必要であれば）文書の受領が記録された日付/時刻。実際に受領された日付をあらわす。転記日付は別に管理される。,BT13-09,$.btx_BusinessTransactions.btx_TransactionHeader.btx_TransactionDetail.btx_ReceivedDate,btx,Transaction_ Detail,receivedDate,/xbrli:xbrl/gl-btx:businessTransactions/gl-btx:transactionHeader/gl-btx:transactionDetail/gl-btx:receivedDate
269,btx,4,A,,Document Location,String,0..1,,"Document location as URI, file name or other reference. Alternatively, text of document can be placed here.",元文書格納場所,文書の格納場所である、URI、ファイル名またはその他の参照情報。代わりに、文書のテキストも記述可能。,BT13-10,$.btx_BusinessTransactions.btx_TransactionHeader.btx_TransactionDetail.btx_DocumentLocation,btx,Transaction_ Detail,documentLocation,/xbrli:xbrl/gl-btx:businessTransactions/gl-btx:transactionHeader/gl-btx:transactionDetail/gl-btx:documentLocation
270,btx,4,A,,Posting Status,Token,0..1,Posting_Status,"deferred: although entered, it cannot be posted until a later time
posted: already posted
proposed: a proposed item that must be approved
simulated: a simulated item, for what-if
tax: a tax-specific entry
unposted:entered but not yet posted or validated
cancelled:entered and later cancelled
other:other status - should be described in postingStatusDescription",転記状態,"・据置：入力されたが、まだ転記できない。_x000D_
・転記済：転記済み。_x000D_
・提案済：検証が必要な項目。_x000D_
・シミュレーション：仮定のためにシミュレートされた項目。_x000D_
・税：税項目。_x000D_
・未転記：入力されたが、まだ検証も転記もされていない。_x000D_
・取消済：入力されたが、取り消された。_x000D_
・その他：その他の状態。postingStatusDescriptionで説明されるべき。_x000D_
[設定値のリスト]_x000D_
(deferred：据置)、(posted：転記済)、(proposed：提案済)、(simulated：シミュレーション)、(tax：税)、(unposted：未転記)、(cancelled：取消済)、(other：その他)",BT13-11,$.btx_BusinessTransactions.btx_TransactionHeader.btx_TransactionDetail.btx_PostingStatus,btx,Transaction_ Detail,postingStatus,/xbrli:xbrl/gl-btx:businessTransactions/gl-btx:transactionHeader/gl-btx:transactionDetail/gl-btx:postingStatus
271,btx,4,A,,Posting Status Description,String,0..1,,Free format description of the posting status,転記状態説明,転記状態の説明。,BT13-12,$.btx_BusinessTransactions.btx_TransactionHeader.btx_TransactionDetail.btx_PostingStatusDescription,btx,Transaction_ Detail,postingStatusDescription,/xbrli:xbrl/gl-btx:businessTransactions/gl-btx:transactionHeader/gl-btx:transactionDetail/gl-btx:postingStatusDescription
272,btx,4,A,,Description,String,0..1,,Description of this line of detail only,説明,この明細行のみに対する説明。,BT13-13,$.btx_BusinessTransactions.btx_TransactionHeader.btx_TransactionDetail.btx_Description,btx,Transaction_ Detail,detailDescription,/xbrli:xbrl/gl-btx:businessTransactions/gl-btx:transactionHeader/gl-btx:transactionDetail/gl-btx:detailDescription
273,btx,4,A,,Acknowledgement Date,Date Time,0..1,,Date of acknowledgement of goods/services shipped/received.,承認日付,出荷/受領済みの物品/サービスを承認した日付。,BT13-14,$.btx_BusinessTransactions.btx_TransactionHeader.btx_TransactionDetail.btx_AcknowledgementDate,btx,Transaction_ Detail,acknowledgementDate,/xbrli:xbrl/gl-btx:businessTransactions/gl-btx:transactionHeader/gl-btx:transactionDetail/gl-btx:acknowledgementDate
274,btx,4,A,,Confirmation Date,Date Time,0..1,,Date of confirmation of shipment/receipt.,確認日付,出荷/受領を確認した日付。,BT13-15,$.btx_BusinessTransactions.btx_TransactionHeader.btx_TransactionDetail.btx_ConfirmationDate,btx,Transaction_ Detail,confirmationDate,/xbrli:xbrl/gl-btx:businessTransactions/gl-btx:transactionHeader/gl-btx:transactionDetail/gl-btx:confirmationDate
275,btx,4,A,,Measurable Class Description,String,0..1,,Free format description associated with gl-ehm:measurableClassID to provide specialization or clarification for the enumerated value of other.,測定可能分類の説明,「その他」の列挙値を補足・特定するための自由記述形式の説明。,BT13-16,$.btx_BusinessTransactions.btx_TransactionHeader.btx_TransactionDetail.btx_MeasurableClassDescription,btx,Transaction_ Detail,measurableClassDescription,/xbrli:xbrl/gl-btx:businessTransactions/gl-btx:transactionHeader/gl-btx:transactionDetail/gl-btx:measurableClassDescription
276,btx,4,A,,Geospatial Coordinate,String,0..1,,"Enter a relevant location for this item. Format can be either:
- Degrees, minutes, and seconds (DMS): 41°24'12.2""N 2°10'26.5""E
- Degrees and decimal minutes (DMM): 41 24.2028, 2 10.4418
- Decimal degrees (DD): 41.40338, 2.17403",地理座標,"本項目の関連位置を入力。形式は以下のいずれか：
・度分秒 (DMS): 41°24'12.2""N 2°10'26.5""E
・度と小数分 (DMM): 41 24.2028, 2 10.4418
・10進度 (DD): 41.40338, 2.17403",BT13-17,$.btx_BusinessTransactions.btx_TransactionHeader.btx_TransactionDetail.btx_GeospatialCoordinate,btx,Transaction_ Detail,geospatialCoordinate,/xbrli:xbrl/gl-btx:businessTransactions/gl-btx:transactionHeader/gl-btx:transactionDetail/gl-btx:geospatialCoordinate
277,taf,4,C,,Originating Document,,0..*,,"A tool to capture the flow of related documents in the business process. Some needs of end users require a greater history of the documents that are associated with a transaction, especially in the VAT audit area. Contains a repetitive class of related documents.",【発生元文書情報】,業務プロセス上の、関連文書の流れを捕捉するためのもの。特にVAT監査では、エンドユーザの要求として、取引に関係する文書の履歴が必要とされる。関連文書情報の構造の繰り返しを含む。,BT13-18,$.btx_BusinessTransactions.btx_TransactionHeader.btx_TransactionDetail.btx_OriginatingDocument,taf,Originating Document,originatingDocument,/xbrli:xbrl/gl-btx:businessTransactions/gl-btx:transactionHeader/gl-btx:transactionDetail/gl-taf:originatingDocument
278,taf,5,A,,Document Type,Token,0..1,,"Document type  check, debit-memo, credit-memo, finance-charge, invoice, order-customer, order-vendor, payment-other, reminder, tegata, voucher, shipment, receipt, manual-adjustment, other.",発生元文書種別,発生元文書の種別。小切手(check)、借方メモ(debit-memo)、貸方メモ(credit-memo)、財務費用(finance-charge)、顧客への請求書(invoice)、顧客オーダ(order-customer)、仕入先オーダ(order-vendor)、その他支払い(payment-other)、督促状(reminder)、手形(tegata)、ベンダからの請求書(voucher)、出荷票(shipment)、受領票(receipt)、手修正(manual-adjustment)、その他(other),TA01-01,$.btx_BusinessTransactions.btx_TransactionHeader.btx_TransactionDetail.btx_OriginatingDocument.taf_DocumentType,taf,Originating Document,originatingDocumentType,/xbrli:xbrl/gl-btx:businessTransactions/gl-btx:transactionHeader/gl-btx:transactionDetail/gl-taf:originatingDocument/gl-taf:originatingDocumentType
279,taf,5,A,PK,Document Number,String,0..1,,Document number,発生元文書番号,発生元文書の番号。,TA01-02,$.btx_BusinessTransactions.btx_TransactionHeader.btx_TransactionDetail.btx_OriginatingDocument.taf_DocumentNumber,taf,Originating Document,originatingDocumentNumber,/xbrli:xbrl/gl-btx:businessTransactions/gl-btx:transactionHeader/gl-btx:transactionDetail/gl-taf:originatingDocument/gl-taf:originatingDocumentNumber
280,taf,5,A,,Document Date,Date,0..1,,Document date,発生元文書日付,発生元文書の日付。,TA01-03,$.btx_BusinessTransactions.btx_TransactionHeader.btx_TransactionDetail.btx_OriginatingDocument.taf_DocumentDate,taf,Originating Document,originatingDocumentDate,/xbrli:xbrl/gl-btx:businessTransactions/gl-btx:transactionHeader/gl-btx:transactionDetail/gl-taf:originatingDocument/gl-taf:originatingDocumentDate
281,taf,5,A,,Document Identifier Type,Token,0..1,Identifier_Type,"Document identifier type. Enumerated as: C, customer, E, employee, V, vendor, O, other, I, salesperson-internal, X, salesperson-external, N, contractor.",発生元文書対象CVE種別,発生元文書の対象となるCVEの種別。_x000D_ [設定値のリスト]_x000D_ (C)、(customer：顧客)、(E)、(employee：従業員)、(V)、(vendor：仕入先)、(O)、(other：その他)、(I)、(salesperson-internal：店舗内販売員)、(X)、(salesperson-external：外交販売員)、(N)、(contractor：請負者),TA01-04,$.btx_BusinessTransactions.btx_TransactionHeader.btx_TransactionDetail.btx_OriginatingDocument.taf_DocumentIdentifierType,taf,Originating Document,originatingDocumentIdentifierType,/xbrli:xbrl/gl-btx:businessTransactions/gl-btx:transactionHeader/gl-btx:transactionDetail/gl-taf:originatingDocument/gl-taf:originatingDocumentIdentifierType
282,taf,5,A,,Document Identifier Code,String,0..1,,Document identifier code,発生元文書対象CVEコード,発生元文書の対象となるCVEのコード。,TA01-05,$.btx_BusinessTransactions.btx_TransactionHeader.btx_TransactionDetail.btx_OriginatingDocument.taf_DocumentIdentifierCode,taf,Originating Document,originatingDocumentIdentifierCode,/xbrli:xbrl/gl-btx:businessTransactions/gl-btx:transactionHeader/gl-btx:transactionDetail/gl-taf:originatingDocument/gl-taf:originatingDocumentIdentifierCode
283,taf,5,A,,Document Identifier Tax Code,Token,0..1,,Originating document identifier tax code,発生元文書対象CVE納税者コード,発生元文書の対象となるCVEの納税者コード。,TA01-06,$.btx_BusinessTransactions.btx_TransactionHeader.btx_TransactionDetail.btx_OriginatingDocument.taf_DocumentIdentifierTaxCode,taf,Originating Document,originatingDocumentIdentifierTaxCode,/xbrli:xbrl/gl-btx:businessTransactions/gl-btx:transactionHeader/gl-btx:transactionDetail/gl-taf:originatingDocument/gl-taf:originatingDocumentIdentifierTaxCode
284,muc,4,C,,Detail_ Multicurrency,,0..*,,Class to provide additional information related to home currencies that differ from original currencies and related exchange rates - typically this will be used to record exchange rates and amounts in currencies and/or on dates other than those of the original transaction. This class allows recording of exchange rates using a third currency as a triangulation currency. This is often EUR but is not restricted to being so. This class may be repeated as many times as necessary to record amounts in foreign currencies on the same or different dates.,【多通貨明細】,"原取引時の通貨と異なる、自国通貨と換算レートに関する追加情報のセクション。－現在および原取引時の、換算レートおよび金額の記録に使用される。_x000D_
トライアンギュレーション通貨としての第三通貨の換算レートを記録できる。EURの場合が多いがそれに限らない。この構造は、同日または異なる日の外貨での金額を記録する必要がある限り、繰り返し指定可能。",BT13-19,$.btx_BusinessTransactions.btx_TransactionHeader.btx_TransactionDetail.btx_DetailMulticurrency,muc,Detail_ Multicurrency,detailMulticurrency,/xbrli:xbrl/gl-btx:businessTransactions/gl-btx:transactionHeader/gl-btx:transactionDetail/gl-muc:detailMulticurrency
285,muc,5,A,,Multicurrency Exchange Rate Date,Date Time,0..1,,Date of exchange rate (other than original transaction date) on which amount is expressed as amountRestatedAmount or amountTriangulationAmount,換算レート日付,（原取引の日付ではなく）、amountRestatedAmountまたはamountTriangulationAmountが示された換算レートの日付。,MU01-01,$.btx_BusinessTransactions.btx_TransactionHeader.btx_TransactionDetail.btx_DetailMulticurrency.muc_MulticurrencyExchangeRateDate,muc,Detail_ Multicurrency,multicurrencyExchangeRateDate,/xbrli:xbrl/gl-btx:businessTransactions/gl-btx:transactionHeader/gl-btx:transactionDetail/gl-muc:detailMulticurrency/gl-muc:multicurrencyExchangeRateDate
286,muc,5,A,,Multicurrency Foreign Currency Amount,Monetary,0..1,,The amount in the foreign currency identified by amountRestatedCurrency as of multicurrencyDetailExchangeRateDate.,換算額,amountRestatedCurrencyで指定された外貨での、multicurrencyDetailExchangeRateDate時点の、換算額。,MU01-02,$.btx_BusinessTransactions.btx_TransactionHeader.btx_TransactionDetail.btx_DetailMulticurrency.muc_MulticurrencyForeignCurrencyAmount,muc,Detail_ Multicurrency,multicurrencyForeignCurrencyAmount,/xbrli:xbrl/gl-btx:businessTransactions/gl-btx:transactionHeader/gl-btx:transactionDetail/gl-muc:detailMulticurrency/gl-muc:multicurrencyForeignCurrencyAmount
287,muc,5,A,,Multicurrency Foreign Currency,QName,0..1,,The currency in which amountRestatedAmount is expressed. Recommended ISO 4217 coding.,換算通貨,amountRestatedAmountで使用される通貨。ISO4217コードを推奨。,MU01-03,$.btx_BusinessTransactions.btx_TransactionHeader.btx_TransactionDetail.btx_DetailMulticurrency.muc_MulticurrencyForeignCurrency,muc,Detail_ Multicurrency,multicurrencyForeignCurrency,/xbrli:xbrl/gl-btx:businessTransactions/gl-btx:transactionHeader/gl-btx:transactionDetail/gl-muc:detailMulticurrency/gl-muc:multicurrencyForeignCurrency
288,muc,5,A,,Multicurrency Exchange Rate,Pure,0..1,,Exchange rate used to convert amountRestatedAmount as of multicurrencyDetailExchangeRateDate (expressed as national currency divided by foreign currency),換算レート,amountRestatedAmountの算出に用いられた、multicurrencyDetailExchangeRateDate時点の換算レート。（自国通貨を外貨通貨で割った値）,MU01-04,$.btx_BusinessTransactions.btx_TransactionHeader.btx_TransactionDetail.btx_DetailMulticurrency.muc_MulticurrencyExchangeRate,muc,Detail_ Multicurrency,multicurrencyExchangeRate,/xbrli:xbrl/gl-btx:businessTransactions/gl-btx:transactionHeader/gl-btx:transactionDetail/gl-muc:detailMulticurrency/gl-muc:multicurrencyExchangeRate
289,muc,5,A,,Multicurrency Exchange Rate Source,String,0..1,,"Source of Exchange Rate for restated amount - for example, Reuters, Bloomberg",換算レート情報源,"外貨換算額の換算レートの情報源。たとえば、Reuters, Bloomberg。",MU01-05,$.btx_BusinessTransactions.btx_TransactionHeader.btx_TransactionDetail.btx_DetailMulticurrency.muc_MulticurrencyExchangeRateSource,muc,Detail_ Multicurrency,multicurrencyExchangeRateSource,/xbrli:xbrl/gl-btx:businessTransactions/gl-btx:transactionHeader/gl-btx:transactionDetail/gl-muc:detailMulticurrency/gl-muc:multicurrencyExchangeRateSource
290,muc,5,A,,Multicurrency Exchange Rate Type,String,0..1,,"Type of Exchange Rate for restated amount - for example, spot rate, forward contract etc.",換算レート種別,外貨換算額の換算レートの種別。たとえば、スポット・レート、先物など。,MU01-06,$.btx_BusinessTransactions.btx_TransactionHeader.btx_TransactionDetail.btx_DetailMulticurrency.muc_MulticurrencyExchangeRateType,muc,Detail_ Multicurrency,multicurrencyExchangeRateType,/xbrli:xbrl/gl-btx:businessTransactions/gl-btx:transactionHeader/gl-btx:transactionDetail/gl-muc:detailMulticurrency/gl-muc:multicurrencyExchangeRateType
291,muc,5,A,,Multicurrency Triangulation Currency Amount,Monetary,0..1,,The amount in the triangulation currency identified by amountTriangulationCurrency as of multicurrencyDetailExchangeRateDate.,トライアンギュレーション通貨換算額,amountTriangulationCurrencyで指定されたトライアンギュレーション通貨での、multicurrencyDetailExchangeRateDate時点の換算額。,MU01-07,$.btx_BusinessTransactions.btx_TransactionHeader.btx_TransactionDetail.btx_DetailMulticurrency.muc_MulticurrencyTriangulationCurrencyAmount,muc,Detail_ Multicurrency,multicurrencyTriangulationCurrencyAmount,/xbrli:xbrl/gl-btx:businessTransactions/gl-btx:transactionHeader/gl-btx:transactionDetail/gl-muc:detailMulticurrency/gl-muc:multicurrencyTriangulationCurrencyAmount
292,muc,5,A,,Multicurrency Triangulation Currency,QName,0..1,,The currency used for tringulation between amountRestatedCurrency and the home currency. Recommended ISO 4217 coding.,トライアンギュレーション通貨,amountRestatedCurrencyと自国通貨間のトライアンギュレーション取引で使用される通貨。ISO4217コードを推奨。,MU01-08,$.btx_BusinessTransactions.btx_TransactionHeader.btx_TransactionDetail.btx_DetailMulticurrency.muc_MulticurrencyTriangulationCurrency,muc,Detail_ Multicurrency,multicurrencyTriangulationCurrency,/xbrli:xbrl/gl-btx:businessTransactions/gl-btx:transactionHeader/gl-btx:transactionDetail/gl-muc:detailMulticurrency/gl-muc:multicurrencyTriangulationCurrency
293,muc,5,A,,Multicurrency Triangulation Exchange Rate,Pure,0..1,,Exchange rate used to convert amountTriangulationAmount as of multicurrencyDetailExchangeRateDate (expressed as national currency divided by triangulation currency),トライアンギュレーション通貨換算レート,amountTriangulationAmountの算出に用いられた、multicurrencyDetailExchangeRateDate時点の換算レート。（自国通貨をトライアンギュレーション通貨で割った値）,MU01-09,$.btx_BusinessTransactions.btx_TransactionHeader.btx_TransactionDetail.btx_DetailMulticurrency.muc_MulticurrencyTriangulationExchangeRate,muc,Detail_ Multicurrency,multicurrencyTriangulationExchangeRate,/xbrli:xbrl/gl-btx:businessTransactions/gl-btx:transactionHeader/gl-btx:transactionDetail/gl-muc:detailMulticurrency/gl-muc:multicurrencyTriangulationExchangeRate
294,muc,5,A,,Multicurrency Triangulation Exchange Rate Source,String,0..1,,"Source of Exchange Rate for triangulation amount - for example, Reuters, Bloomberg",トライアンギュレーション通貨換算レート情報源,"トライアンギュレーション通貨換算額の換算レートの情報源。たとえば、Reuters, Bloomberg。",MU01-10,$.btx_BusinessTransactions.btx_TransactionHeader.btx_TransactionDetail.btx_DetailMulticurrency.muc_MulticurrencyTriangulationExchangeRateSource,muc,Detail_ Multicurrency,multicurrencyTriangulationExchangeRateSource,/xbrli:xbrl/gl-btx:businessTransactions/gl-btx:transactionHeader/gl-btx:transactionDetail/gl-muc:detailMulticurrency/gl-muc:multicurrencyTriangulationExchangeRateSource
295,muc,5,A,,Multicurrency Triangulation Exchange Rate Type,String,0..1,,"Type of Exchange Rate for triangulation amount - for example, spot rate, forward contract etc.",トライアンギュレーション通貨換算レート種別,トライアンギュレーション通貨換算額の換算レートの種別。たとえば、スポット・レート、先物など。,MU01-11,$.btx_BusinessTransactions.btx_TransactionHeader.btx_TransactionDetail.btx_DetailMulticurrency.muc_MulticurrencyTriangulationExchangeRateType,muc,Detail_ Multicurrency,multicurrencyTriangulationExchangeRateType,/xbrli:xbrl/gl-btx:businessTransactions/gl-btx:transactionHeader/gl-btx:transactionDetail/gl-muc:detailMulticurrency/gl-muc:multicurrencyTriangulationExchangeRateType
296,muc,5,A,,Multicurrency Cross Triangulation Exchange Rate,Pure,0..1,,Exchange rate used to convert from amountRestatedAmount to amountTriangulationAmount as of multicurrencyDetailExchangeRateDate (expressed as foreign currency divided by triangulation currency),換算通貨トライアンギュレーション通貨換算レート,amountRestatedAmountからamountTriangulationAmountへの、multicurrencyDetailExchangeRateDate時点の換算レート。（外貨通貨をトライアンギュレーション通貨で割った値）,MU01-12,$.btx_BusinessTransactions.btx_TransactionHeader.btx_TransactionDetail.btx_DetailMulticurrency.muc_MulticurrencyCrossTriangulationExchangeRate,muc,Detail_ Multicurrency,multicurrencyCrossTriangulationExchangeRate,/xbrli:xbrl/gl-btx:businessTransactions/gl-btx:transactionHeader/gl-btx:transactionDetail/gl-muc:detailMulticurrency/gl-muc:multicurrencyCrossTriangulationExchangeRate
